feature,importance
admissions_last_365_days,0.607647
prior_readmissions_last_365_days,0.121053025
admissions_last_90_days,0.081178166
days_since_last_inpatient_admission,0.066183515
length_of_stay,0.020162206
age_at_admission,0.019390825
procedure_count,0.011343622
medication_count,0.009830196
admissions_last_30_days,0.009218014
has_prior_inpatient_admission,0.00840753
kidney_failure,0.0072299237
condition_count,0.0066941506
ischemic_heart_disease,0.00642049
previous_inpatient_admissions,0.006022721
bmi,0.005880226
hypertension,0.005296129
kidney_disease,0.005060925
diabetes,0.002981325
