feature,importance
admissions_last_365_days,0.35719517
prior_readmissions_last_365_days,0.19105136
days_since_last_inpatient_admission,0.13695218
admissions_last_90_days,0.05486027
glucose_available,0.027509894
age_at_admission,0.02066508
admissions_last_30_days,0.01962977
procedure_count,0.01920755
length_of_stay,0.019041086
has_prior_inpatient_admission,0.016576208
condition_count,0.016029596
medication_count,0.014515596
glucose,0.014511586
heart_rate,0.014296391
systolic_bp,0.013757519
bmi,0.013726398
vitals_available,0.013672482
previous_inpatient_admissions,0.012848458
hypertension,0.010708817
diabetes,0.00888272
kidney_disease,0.004361939
